ablation,dataset,regime,split,seed,episodes,success,success_probability,mechanism_recall,coverage_false_negative,tail_failure,redundancy_rate,selection_cost,data_efficiency_proxy
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,5,84,0.5833,0.5922,0.6611,0.0282,0.0776,0.1309,0.2174,0.6864
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,6,84,0.619,0.5971,0.6507,0.0396,0.0807,0.1323,0.2174,0.6763
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,0,84,0.5952,0.6107,0.6361,0.034,0.075,0.1274,0.2174,0.6966
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,1,84,0.5952,0.6043,0.6452,0.0317,0.0849,0.1202,0.2174,0.6884
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,2,84,0.5238,0.5906,0.6503,0.0354,0.0805,0.132,0.2174,0.6692
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,3,84,0.5952,0.5992,0.6425,0.0359,0.0769,0.1331,0.2174,0.6733
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,4,84,0.6667,0.5972,0.654,0.0321,0.0791,0.1246,0.2174,0.6883
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,5,84,0.6429,0.594,0.6684,0.0391,0.0843,0.1256,0.2174,0.6764
full_mechanism_coverage_audit,single_arm_tabletop,irreversible_side_effect_gap,combined_stress,6,84,0.5595,0.5902,0.6594,0.0273,0.0892,0.1303,0.2174,0.6882
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,0,84,0.5833,0.5824,0.651,0.0375,0.0886,0.1299,0.2174,0.6677
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,1,84,0.5714,0.5909,0.6465,0.042,0.0872,0.1296,0.2174,0.6733
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,2,84,0.619,0.5898,0.6662,0.0467,0.0902,0.1306,0.2174,0.682
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,3,84,0.5357,0.5862,0.6465,0.0419,0.0827,0.1338,0.2174,0.685
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,4,84,0.5238,0.5794,0.6595,0.0424,0.088,0.1258,0.2174,0.6822
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,5,84,0.5238,0.5789,0.6579,0.0411,0.0901,0.125,0.2174,0.6798
full_mechanism_coverage_audit,single_arm_tabletop,combined_coverage_gap,combined_stress,6,84,0.6071,0.5926,0.6513,0.0514,0.079,0.1234,0.2174,0.6828
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,0,84,0.5357,0.6016,0.6627,0.0174,0.0359,0.127,0.2174,0.6642
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,1,84,0.6905,0.6031,0.658,0.0113,0.0447,0.1311,0.2174,0.6757
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,2,84,0.6667,0.6075,0.6431,0.0184,0.0448,0.1281,0.2174,0.6774
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,3,84,0.5833,0.6023,0.6496,0.009,0.0451,0.1325,0.2174,0.686
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,4,84,0.5714,0.5992,0.6633,0.022,0.0429,0.1292,0.2174,0.6989
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,5,84,0.6071,0.6008,0.6645,0.0034,0.0459,0.1304,0.2174,0.6698
full_mechanism_coverage_audit,mobile_manipulation,nominal_coverage,combined_stress,6,84,0.619,0.5874,0.6474,0.016,0.0433,0.1234,0.2174,0.6917
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,0,84,0.5833,0.5722,0.6521,0.0363,0.0731,0.1291,0.2174,0.6816
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,1,84,0.6071,0.5792,0.6564,0.0271,0.0716,0.1219,0.2174,0.6766
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,2,84,0.6667,0.5864,0.6389,0.0294,0.0838,0.1299,0.2174,0.6608
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,3,84,0.5833,0.5876,0.648,0.0348,0.0721,0.1292,0.2174,0.6927
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,4,84,0.619,0.5929,0.6512,0.0399,0.0845,0.1335,0.2174,0.6753
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,5,84,0.619,0.5786,0.6362,0.0508,0.0908,0.1328,0.2174,0.6764
full_mechanism_coverage_audit,mobile_manipulation,contact_transition_gap,combined_stress,6,84,0.619,0.5895,0.6547,0.0297,0.0714,0.1294,0.2174,0.6843
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,0,84,0.5714,0.5687,0.6726,0.0369,0.0835,0.1262,0.2174,0.6877
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,1,84,0.5476,0.5837,0.6616,0.0433,0.074,0.1355,0.2174,0.6791
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,2,84,0.619,0.5838,0.6586,0.0397,0.0832,0.1339,0.2174,0.6802
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,3,84,0.5595,0.5753,0.6684,0.0328,0.0757,0.1304,0.2174,0.675
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,4,84,0.5952,0.5779,0.6458,0.0318,0.0838,0.1288,0.2174,0.6815
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,5,84,0.6071,0.5858,0.6521,0.0346,0.0849,0.1327,0.2174,0.6833
full_mechanism_coverage_audit,mobile_manipulation,force_tactile_gap,combined_stress,6,84,0.5714,0.5778,0.6514,0.0423,0.0838,0.1295,0.2174,0.6959
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,0,84,0.631,0.5695,0.6579,0.0428,0.0778,0.1249,0.2174,0.6801
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,1,84,0.5238,0.5732,0.6639,0.0516,0.0808,0.1237,0.2174,0.6906
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,2,84,0.5238,0.5708,0.6538,0.0391,0.0855,0.1294,0.2174,0.6844
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,3,84,0.6667,0.5785,0.6609,0.0394,0.0799,0.1331,0.2174,0.6836
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,4,84,0.5952,0.588,0.664,0.0425,0.0877,0.1274,0.2174,0.6812
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,5,84,0.5238,0.5714,0.6287,0.0403,0.0764,0.1313,0.2174,0.6794
full_mechanism_coverage_audit,mobile_manipulation,recovery_gap,combined_stress,6,84,0.5952,0.5603,0.6377,0.0438,0.0912,0.1311,0.2174,0.6744
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,0,84,0.619,0.5633,0.6648,0.0399,0.08,0.1285,0.2174,0.6895
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,1,84,0.6786,0.5691,0.6592,0.0439,0.0837,0.1252,0.2174,0.6749
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,2,84,0.5833,0.5897,0.6542,0.0378,0.0783,0.1302,0.2174,0.6874
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,3,84,0.5476,0.5681,0.6286,0.042,0.0871,0.1339,0.2174,0.6728
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,4,84,0.5714,0.5811,0.6437,0.0376,0.0866,0.1289,0.2174,0.6734
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,5,84,0.5833,0.5746,0.6453,0.0396,0.0855,0.1278,0.2174,0.68
full_mechanism_coverage_audit,mobile_manipulation,deformable_gap,combined_stress,6,84,0.5595,0.579,0.6375,0.0412,0.0862,0.1341,0.2174,0.6871
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,0,84,0.6071,0.5829,0.6473,0.0487,0.0902,0.1368,0.2174,0.6761
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,1,84,0.619,0.5768,0.6312,0.044,0.0835,0.1292,0.2174,0.6742
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,2,84,0.5952,0.5779,0.6476,0.0293,0.0782,0.125,0.2174,0.6737
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,3,84,0.5119,0.577,0.6393,0.027,0.0909,0.1244,0.2174,0.6819
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,4,84,0.5476,0.5807,0.6592,0.0397,0.0846,0.1318,0.2174,0.6809
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,5,84,0.5238,0.5697,0.6379,0.034,0.0819,0.1311,0.2174,0.6777
full_mechanism_coverage_audit,mobile_manipulation,irreversible_side_effect_gap,combined_stress,6,84,0.619,0.584,0.6466,0.0413,0.0857,0.1238,0.2174,0.6827
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,0,84,0.6071,0.5726,0.6409,0.0558,0.093,0.1262,0.2174,0.6842
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,1,84,0.4762,0.56,0.6436,0.047,0.0906,0.1328,0.2174,0.6915
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,2,84,0.5238,0.5646,0.6419,0.0494,0.0923,0.1351,0.2174,0.6785
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,3,84,0.5357,0.5789,0.634,0.0501,0.0952,0.1303,0.2174,0.6786
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,4,84,0.5476,0.5711,0.6585,0.061,0.0951,0.1297,0.2174,0.6841
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,5,84,0.5476,0.5575,0.6427,0.042,0.0998,0.1293,0.2174,0.6805
full_mechanism_coverage_audit,mobile_manipulation,combined_coverage_gap,combined_stress,6,84,0.619,0.556,0.6502,0.056,0.0943,0.1307,0.2174,0.6784
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,0,84,0.6429,0.5975,0.6775,0.0189,0.0489,0.1343,0.2174,0.6703
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,1,84,0.5238,0.6015,0.6628,0.0245,0.0427,0.1319,0.2174,0.6782
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,2,84,0.6429,0.6008,0.6506,0.0116,0.0511,0.1244,0.2174,0.6833
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,3,84,0.5952,0.6052,0.6441,0.0134,0.0455,0.1233,0.2174,0.6848
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,4,84,0.619,0.5883,0.6508,0.0087,0.0431,0.1293,0.2174,0.6897
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,5,84,0.5952,0.6094,0.6574,0.0131,0.0509,0.1328,0.2174,0.6704
full_mechanism_coverage_audit,bimanual_manipulation,nominal_coverage,combined_stress,6,84,0.6667,0.5923,0.6447,0.0243,0.0437,0.1371,0.2174,0.6845
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,0,84,0.5,0.5814,0.6514,0.0311,0.0775,0.1341,0.2174,0.6835
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,1,84,0.6429,0.5702,0.6568,0.0308,0.0748,0.1332,0.2174,0.6605
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,2,84,0.5833,0.5837,0.6508,0.0468,0.0841,0.1249,0.2174,0.6769
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,3,84,0.5476,0.5792,0.6421,0.0402,0.0696,0.1319,0.2174,0.6964
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,4,84,0.5714,0.5769,0.6406,0.0395,0.0795,0.1326,0.2174,0.6791
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,5,84,0.6071,0.5797,0.6304,0.0417,0.0786,0.1319,0.2174,0.6625
full_mechanism_coverage_audit,bimanual_manipulation,contact_transition_gap,combined_stress,6,84,0.5357,0.5818,0.652,0.0478,0.0731,0.1272,0.2174,0.6815
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,0,84,0.4881,0.5619,0.6502,0.041,0.0867,0.1319,0.2174,0.6649
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,1,84,0.5238,0.5798,0.6674,0.0523,0.0703,0.1306,0.2174,0.6608
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,2,84,0.5357,0.5777,0.6603,0.0503,0.0808,0.1252,0.2174,0.6645
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,3,84,0.5119,0.5779,0.6565,0.0465,0.0811,0.1302,0.2174,0.6765
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,4,84,0.4881,0.5573,0.6534,0.0484,0.078,0.1289,0.2174,0.685
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,5,84,0.5952,0.5733,0.6519,0.0457,0.0795,0.1267,0.2174,0.6867
full_mechanism_coverage_audit,bimanual_manipulation,force_tactile_gap,combined_stress,6,84,0.631,0.5724,0.6523,0.0485,0.0793,0.1283,0.2174,0.6692
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,0,84,0.5,0.5736,0.6558,0.048,0.0854,0.1335,0.2174,0.6757
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,1,84,0.5,0.5665,0.6649,0.0541,0.0873,0.1276,0.2174,0.6871
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,2,84,0.5714,0.5768,0.6349,0.0412,0.0754,0.1303,0.2174,0.6723
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,3,84,0.5119,0.557,0.6522,0.043,0.0749,0.1366,0.2174,0.6894
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,4,84,0.5238,0.5746,0.6564,0.0413,0.0859,0.1286,0.2174,0.6765
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,5,84,0.4643,0.5698,0.6298,0.0429,0.0801,0.1266,0.2174,0.677
full_mechanism_coverage_audit,bimanual_manipulation,recovery_gap,combined_stress,6,84,0.6429,0.569,0.6425,0.0419,0.0711,0.1279,0.2174,0.6729
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,0,84,0.5357,0.5677,0.6592,0.0444,0.0821,0.1347,0.2174,0.6878
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,1,84,0.5357,0.5759,0.6545,0.0506,0.0778,0.1302,0.2174,0.6737
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,2,84,0.4643,0.5721,0.6484,0.0373,0.0835,0.135,0.2174,0.6825
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,3,84,0.619,0.563,0.66,0.0433,0.0835,0.1206,0.2174,0.6817
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,4,84,0.4762,0.5636,0.6497,0.0463,0.0776,0.1292,0.2174,0.6755
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,5,84,0.6071,0.5748,0.6678,0.0549,0.0967,0.1258,0.2174,0.6774
full_mechanism_coverage_audit,bimanual_manipulation,deformable_gap,combined_stress,6,84,0.5357,0.5675,0.653,0.0412,0.087,0.1272,0.2174,0.6784
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,0,84,0.5833,0.5735,0.6617,0.0435,0.0795,0.135,0.2174,0.6796
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,1,84,0.4762,0.5821,0.6603,0.0407,0.0811,0.1295,0.2174,0.6788
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,2,84,0.4643,0.5695,0.6578,0.0437,0.0895,0.1283,0.2174,0.681
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,3,84,0.631,0.5758,0.6708,0.0476,0.0889,0.1301,0.2174,0.6633
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,4,84,0.5357,0.574,0.6412,0.0383,0.0771,0.1275,0.2174,0.6854
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,5,84,0.5714,0.5807,0.6453,0.0444,0.0859,0.1264,0.2174,0.6951
full_mechanism_coverage_audit,bimanual_manipulation,irreversible_side_effect_gap,combined_stress,6,84,0.6429,0.5701,0.6591,0.0418,0.0811,0.1302,0.2174,0.6705
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,0,84,0.5238,0.5644,0.6333,0.0699,0.0905,0.1223,0.2174,0.6828
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,1,84,0.5595,0.5564,0.6533,0.0566,0.0922,0.1316,0.2174,0.6668
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,2,84,0.6667,0.561,0.6388,0.0596,0.0838,0.127,0.2174,0.6822
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,3,84,0.4286,0.5708,0.6554,0.0583,0.0906,0.1291,0.2174,0.6857
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,4,84,0.5595,0.553,0.6477,0.0668,0.0914,0.123,0.2174,0.6783
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,5,84,0.5714,0.5634,0.6346,0.0473,0.0861,0.1282,0.2174,0.6831
full_mechanism_coverage_audit,bimanual_manipulation,combined_coverage_gap,combined_stress,6,84,0.5595,0.5552,0.6657,0.0563,0.094,0.1301,0.2174,0.6724
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,0,84,0.6071,0.5751,0.6498,0.0213,0.0506,0.1202,0.2174,0.6757
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,1,84,0.6071,0.5966,0.6461,0.0263,0.0519,0.1281,0.2174,0.6797
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,2,84,0.619,0.5874,0.6493,0.0247,0.0527,0.1301,0.2174,0.6949
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,3,84,0.3929,0.5876,0.6478,0.0176,0.0493,0.1242,0.2174,0.6627
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,4,84,0.5238,0.5867,0.6384,0.0229,0.0391,0.1271,0.2174,0.6813
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,5,84,0.6905,0.5924,0.6715,0.0225,0.045,0.1341,0.2174,0.6746
full_mechanism_coverage_audit,tactile_contact_rich,nominal_coverage,combined_stress,6,84,0.5476,0.5995,0.633,0.0192,0.0473,0.1195,0.2174,0.6775
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,0,84,0.5238,0.569,0.6627,0.0425,0.0875,0.1205,0.2174,0.6675
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,1,84,0.5476,0.5677,0.6483,0.0607,0.0834,0.129,0.2174,0.6727
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,2,84,0.631,0.5706,0.6506,0.0474,0.0839,0.13,0.2174,0.6763
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,3,84,0.5,0.5702,0.6353,0.0559,0.0759,0.1334,0.2174,0.68
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,4,84,0.5833,0.5668,0.654,0.0483,0.0743,0.1248,0.2174,0.6683
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,5,84,0.5595,0.5669,0.6407,0.0527,0.0742,0.1293,0.2174,0.6797
full_mechanism_coverage_audit,tactile_contact_rich,contact_transition_gap,combined_stress,6,84,0.5476,0.5731,0.6526,0.0468,0.0827,0.1263,0.2174,0.6941
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,0,84,0.5357,0.561,0.6532,0.0567,0.0763,0.124,0.2174,0.6876
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,1,84,0.5238,0.5553,0.6637,0.0683,0.0823,0.1304,0.2174,0.6687
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,2,84,0.4405,0.5617,0.6707,0.0666,0.0821,0.1228,0.2174,0.6861
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,3,84,0.631,0.5622,0.6705,0.0593,0.0817,0.1258,0.2174,0.6777
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,4,84,0.5119,0.5635,0.6511,0.0599,0.0796,0.1392,0.2174,0.6796
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,5,84,0.5357,0.5645,0.6423,0.0718,0.0903,0.1239,0.2174,0.6824
full_mechanism_coverage_audit,tactile_contact_rich,force_tactile_gap,combined_stress,6,84,0.4762,0.5528,0.6718,0.0592,0.0728,0.1325,0.2174,0.6769
full_mechanism_coverage_audit,tactile_contact_rich,recovery_gap,combined_stress,0,84,0.4881,0.5553,0.64,0.0594,0.0824,0.1355,0.2174,0.6777
